2018-03-22 10:20:52 time: 0:00:00.286326 files compared: 9489, t<72h: 9488, t>72h: 1
2018-03-22 10:23:55 time: 0:00:00.334556 files compared: 9489, t<72h: 9486, t>72h: 3
2018-03-22 10:24:40 time: 0:00:00.413585 files compared: 9490, t<72h: 3013, t>72h: 6477
2018-03-22 10:26:44 time: 0:00:00.316565 files compared: 9489, t<72h: 9483, t>72h: 6
2018-03-22 10:26:44 time: 0:00:00.301718 files compared: 9490, t<72h: 3010, t>72h: 6480
2018-03-22 10:45:26 time: 0:00:00.170224 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/btn  files compared: 9489, t<72h: 9474, t>72h: 15
2018-03-22 10:45:26 time: 0:00:00.167910 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/_btn.copy  files compared: 9490, t<72h: 2991, t>72h: 6499
2018-03-22 10:46:51 time: 0:00:00.169371 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/btn  files compared: 9489, t<72h: 9474, t>72h: 15
2018-03-22 10:46:51 time: 0:00:00.142856 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/_btn.copy  files compared: 9490, t<72h: 2990, t>72h: 6500
2018-03-22 10:47:12 time: 0:00:00.158599 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/btn  files compared: 9489, t<72h: 9474, t>72h: 15
2018-03-22 10:47:12 time: 0:00:00.151387 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/_btn.copy  files compared: 9490, t<72h: 2990, t>72h: 6500
2018-03-22 10:48:21 time: 0:00:00.150344 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/btn  files compared: 9489, t<72h: 9481, t>72h: 8
2018-03-22 10:48:21 time: 0:00:00.180116 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/_btn.copy  files compared: 9490, t<72h: 2990, t>72h: 6500
2018-03-22 10:52:49 time: 0:00:00.204745 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/btn  files compared: 9489, t<72h: 9489, t>72h: 0
2018-03-22 10:52:49 time: 0:00:00.196000 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/_btn.copy  files compared: 9490, t<72h: 2989, t>72h: 6501
2018-03-22 10:56:03 time: 0:00:00.150733 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/btn  files compared: 9489, t<72h: 9489, t>72h: 0
2018-03-22 10:56:03 time: 0:00:00.189939 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/_btn.copy  files compared: 9490, t<72h: 2989, t>72h: 6501
2018-03-22 10:57:09 time: 0:00:00.152447 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/btn  files compared: 9489, t<72h: 9489, t>72h: 0
2018-03-22 10:57:09 time: 0:00:00.153387 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/_btn.copy  files compared: 9490, t<72h: 2988, t>72h: 6502
2018-03-22 10:59:15 time: 0:00:00.208943 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/btn  files compared: 9489, t<72h: 9489, t>72h: 0
2018-03-22 10:59:15 time: 0:00:00.170676 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/_btn.copy  files compared: 9490, t<72h: 2986, t>72h: 6504
2018-03-22 21:57:16 time: 0:00:00.212511 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/btn  files compared: 9496, t<72h: 9494, t>72h: 2
2018-03-22 21:57:16 time: 0:00:00.234916 /var/www/kinoinfo/data/www/kinoinfo.ru/upload/_btn.copy  files compared: 9490, t<72h: 2280, t>72h: 7210
