2018-03-21 00:22:15 time: 0:00:14.735777 files compared: 584, t<72h: 577, t>72h: 6, updated: 6, errors:0
2018-03-21 00:22:36 time: 0:00:17.571956 files compared: 590, t<72h: 583, t>72h: 6, updated: 6, errors:0
2018-03-21 00:33:04 time: 0:00:17.744408 files compared: 599, t<72h: 592, t>72h: 6, updated: 6, errors:0
2018-03-21 00:38:54 time: 0:04:30.114060 files compared: 740, t<72h: 639, t>72h: 100, updated: 100, errors:0
2018-03-21 00:52:27 time: 0:04:25.607563 files compared: 914, t<72h: 813, t>72h: 100, updated: 100, errors:0
2018-03-21 01:16:50 time: 0:04:48.001394 files compared: 1093, t<72h: 992, t>72h: 100, updated: 100, errors:0
2018-03-21 01:52:36 time: 0:04:34.608743 files compared: 1258, t<72h: 1157, t>72h: 100, updated: 100, errors:0
2018-03-21 02:16:37 time: 0:04:35.273163 files compared: 1416, t<72h: 1315, t>72h: 100, updated: 100, errors:0
2018-03-21 02:52:26 time: 0:04:24.255832 files compared: 1591, t<72h: 1490, t>72h: 100, updated: 100, errors:0
2018-03-21 03:17:21 time: 0:05:19.026375 files compared: 1765, t<72h: 1664, t>72h: 100, updated: 100, errors:0
2018-03-21 03:52:44 time: 0:04:42.753676 files compared: 1959, t<72h: 1858, t>72h: 100, updated: 100, errors:0
2018-03-21 04:17:14 time: 0:05:11.869565 files compared: 2130, t<72h: 2029, t>72h: 100, updated: 100, errors:0
2018-03-21 04:52:39 time: 0:04:38.007507 files compared: 2312, t<72h: 2211, t>72h: 100, updated: 100, errors:0
2018-03-21 05:16:22 time: 0:04:20.036525 files compared: 2504, t<72h: 2403, t>72h: 100, updated: 100, errors:0
2018-03-21 05:52:39 time: 0:04:37.756123 files compared: 2702, t<72h: 2601, t>72h: 100, updated: 100, errors:0
2018-03-21 06:17:15 time: 0:05:13.629709 files compared: 2871, t<72h: 2770, t>72h: 100, updated: 100, errors:0
2018-03-21 06:52:34 time: 0:04:32.315964 files compared: 3049, t<72h: 2948, t>72h: 100, updated: 100, errors:0
2018-03-21 07:16:52 time: 0:04:50.177199 files compared: 3192, t<72h: 3091, t>72h: 100, updated: 100, errors:0
2018-03-21 07:52:47 time: 0:04:45.888051 files compared: 3317, t<72h: 3216, t>72h: 100, updated: 100, errors:0
2018-03-21 08:16:59 time: 0:04:56.833867 files compared: 3432, t<72h: 3331, t>72h: 100, updated: 100, errors:0
2018-03-21 08:52:35 time: 0:04:33.514634 files compared: 3551, t<72h: 3450, t>72h: 100, updated: 100, errors:0
2018-03-21 09:16:34 time: 0:04:32.155706 files compared: 3665, t<72h: 3564, t>72h: 100, updated: 100, errors:0
